Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
462,Jelle Van Neck,,GK,Marseille,20,"€ 3,077 (£ 2,594, $3,444)","€ 160,000 (£ 134,911, $179,089)",Unverified estimation
463,Lilian Raolisoa,,RB,Angers,24,"€ 2,885 (£ 2,435, $2,974)","€ 150,000 (£ 126,611, $154,625)",Unverified estimation
464,Zinédine Ould Khaled,fr FRA,MF,Angers,24,"€ 2,885 (£ 2,435, $2,974)","€ 150,000 (£ 126,611, $154,625)",Unverified estimation
465,Geoffrey Lembet,,GK,Rennes,36,"€ 2,885 (£ 2,435, $2,974)","€ 150,000 (£ 126,611, $154,625)",Unverified estimation
466,Irvyn Lomami,,RB,Lyon,20,"€ 2,885 (£ 2,435, $2,974)","€ 150,000 (£ 126,611, $154,625)",Unverified estimation
467,Neil El Aynaoui,fr FRA,MF,Lens,23,"€ 2,885 (£ 2,435, $2,974)","€ 150,000 (£ 126,611, $154,625)",Unverified estimation
468,Billal Brahimi,dz ALG,LW,Nice,24,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
469,Falaye Sacko,ml MLI,DF,Montpellier,29,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
470,Justin Lacombe,,GK,Toulouse,21,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
471,Darryl Bakola,,AM,Marseille,17,"€ 2,692 (£ 2,270, $3,014)","€ 140,000 (£ 118,047, $156,703)",Unverified estimation
472,Enzo Sternal,,SS,Marseille,17,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
473,Gaël Lafont,,CM,Marseille,18,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
474,Kévin Danois,,CM,Auxerre,20,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
475,Nicolas Mercier,fr FRA,LW,Auxerre,21,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
476,Raphaël Adiceam,fr FRA,GK,Auxerre,34,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
477,John Patrick,,CM,Reims,21,"€ 2,692 (£ 2,270, $3,014)","€ 140,000 (£ 118,047, $156,703)",Unverified estimation
478,Marvin Senaya,tg TOG,DF,Strasbourg,23,"€ 2,692 (£ 2,273, $2,775)","€ 140,000 (£ 118,171, $144,316)",Unverified estimation
